App,Website,category,auth_methods,self_serve_vs_gated,api_surface,buildability_verdict,evidence,confidence,needs_human_review
Zendesk,zendesk.com,Skill-based routing and chat skill management for tickets and live chat,"OAuth2, API token (Basic auth with email/token)",Self‑serve for admins on paid plans; requires account admin to generate credentials,"Public REST API covering ticket management, live‑chat skills, and routing settings (no GraphQL, not agent‑callable skills)",Can be integrated via REST but not directly as an agent‑callable toolkit; main blocker is lack of agent‑side skill execution APIs,https://developer.zendesk.com/api-reference/ticketing/ticket-management/skill_based_routing/ https://developer.zendesk.com/api-reference/live-chat/chat-api/skills/ https://developer.zendesk.com/api-reference/live-chat/chat-api/routing_settings/,Inferred,False
Intercom,intercom.com,Customer messaging and support platform API,OAuth2 and personal access token (Bearer token) API key,"Self‑serve for development and trial (API keys can be generated in the Intercom developer portal), but production access typically requires a paid Intercom plan or admin approval","Both public REST and GraphQL APIs covering users, conversations, messages, events, and more; suitable for MCP server integration or agent‑callable skills",Buildable today; main considerations are obtaining proper authentication credentials and potential gating of production usage behind a paid plan,https://apis.io/graphqls/intercom/intercom-graphql/; https://github.com/api-evangelist/intercom/blob/main/graphql/intercom-graphql.md; https://developers.intercom.com/,Inferred,False
Freshdesk,freshdesk.com,"Customer support/help desk platform providing ticketing, contact, and knowledge base APIs",API key (used via Basic Auth or X-Freshdesk-API-Key header); OAuth2 also supported for some integrations,Self‑serve – developers can obtain an API key from their Freshdesk account settings without contacting sales,"Public REST API (v1) covering tickets, contacts, agents, solutions, forums, and more; suitable for MCP servers or agent‑callable skills",Buildable as an agent toolkit today; main considerations are handling API‑key authentication and rate‑limit management,https://developer.freshdesk.com/api/ https://developers.freshdesk.com/api/ https://developer.freshdesk.com/api/v1,Inferred,False
Front,front.com,Shared inbox and team email collaboration platform,"OAuth2, API token","Self‑serve for existing Front accounts (admin can generate API tokens), no separate sales gate","Public REST API covering messages, inboxes, contacts, users, etc.; can be used by MCP servers or agent‑callable skills",Buildable today; main requirement is obtaining OAuth credentials or API token,"https://help.front.com/en/articles/2331, https://dev.frontapp.com/me/docs/oauth, https://dev.frontapp.com/docs/partnering-with-front",Medium,False
Pylon,usepylon.com,Developer platform offering APIs for integrating with Pylon services,API key (typical for developer APIs) and possibly OAuth2,Self‑serve – developers can likely sign up for an account and obtain credentials without a sales gate,Public REST API covering core Pylon functionality; suitable for MCP server or agent‑callable skills,Buildable as an agent toolkit today; main blocker would be lack of detailed documentation on auth flows,"https://docs.usepylon.com/pylon-docs/developer, https://getpylon.com/developers/, https://docs.usepylon.com/pylon-docs/developer/api",Inferred,False
LiveAgent,liveagent.com,Customer support / help desk platform API,API key (token) authentication,Self‑serve – API credentials can be generated in the LiveAgent account settings without additional sales contact,"Public REST API covering tickets, contacts, chats, knowledge base, reports, and other support‑related resources",Buildable – can be used today via standard REST calls; no major technical blockers for agent toolkits,"https://support.liveagent.com/840770-Complete-API-reference, https://faq.liveagent.com/640789-Where-Can-I-Find-the-LiveAgent-API-Documentation, https://faq.liveagent.com/772546-Where-can-I-find-the-APIv1-documentation",Inferred,False
Plain,plain.com,Conversational AI platform for building chat assistants and integrations,Bearer token / API key (token‑based authentication),Self‑serve – developers can obtain API credentials via the Plain dashboard without contacting sales,Public GraphQL API (authentication documented) plus REST endpoints; can be used as an MCP server or as agent‑callable skills,Buildable today as an agent toolkit; no major blockers beyond obtaining an API token,"https://www.plain.com/docs/graphql/authentication, https://help.plain.com/article/api-quickstart, https://www.plain.com/docs/agents/machine-users",Inferred,False
Help Scout,helpscout.com,Help desk / ticketing platform for managing customer conversations,API key (Bearer token) – token generated in the Help Scout account,"Self‑serve (developers can obtain an API token from their own Help Scout account, typically requires an active Help Scout subscription)","Public REST API (Inbox API 2.0) covering mailboxes, conversations, customers, etc.; suitable for MCP servers or agent‑callable skills",Buildable today – can be integrated via standard REST calls; main blocker is the need for an API token and a paid Help Scout account for access,"https://developer.helpscout.com/mailbox-api/overview/authentication, https://developer.helpscout.com/mailbox-api/, https://developer.helpscout.com/docs-api/restricted-docs/",Medium,False
Gorgias,gorgias.com,Customer support help desk – provides ticket management and automation via API,API token (Bearer) authentication,Self‑serve – developers can obtain API credentials from their Gorgias account settings without contacting sales,"Public REST API covering tickets, customers, orders, and other support resources; suitable for MCP servers or agent‑callable skills",Buildable – the REST API and token‑based auth allow straightforward integration; no major blockers,"https://developers.gorgias.com/reference/authentication, https://docs.gorgias.com/en-US/rest-api-208286, https://developers.gorgias.com/reference/get-account",Inferred,False
Gladly,gladly.com,Customer support / helpdesk platform providing omnichannel communication,API key (Bearer token) authentication,Gated – requires an existing Gladly account with admin privileges to obtain credentials,"Public REST API covering customers, conversations, agents, and other core CRM functions; suitable for MCP servers or agent-callable skills",Buildable today; main blocker is the need for a paid Gladly account to obtain API credentials,https://developer.gladly.com/rest/ https://help.gladly.com/developer-tutorials/docs/setup-and-testing https://apis.io/security/gladly/gladly-authentication/,Medium,False
Slack,slack.com,AI integration platform (MCP server) for building context‑aware Slack agents,OAuth2 (OAuth 2.0) with Slack bot/user tokens,Self‑serve – developers can create a Slack app and obtain credentials via the Slack developer portal,"Public REST APIs (MCP server, Real‑time Search API) that expose Slack data and can be invoked as agent‑callable skills",Buildable today as an agent toolkit; main consideration is hosting the MCP server and staying within Slack's ecosystem,"https://docs.slack.dev/ai/slack-mcp-server, https://slack.dev/context-aware-agents-slack-mcp-server-real-time-search/, https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server",Medium,False
Twilio,twilio.com,"Communications platform offering cloud APIs for voice, SMS, video, and other messaging services",API key (Account SID + Auth Token) and OAuth2 for certain services,Self‑serve – developers can sign up for a free trial and obtain credentials without contacting sales,"Extensive public REST APIs covering voice, messaging, video, email, and more, plus a GraphQL layer (documented in the Twilio GraphQL spec)","Buildable as an agent toolkit today; the main considerations are handling authentication tokens and rate limits, but no technical blockers",https://github.com/api-evangelist/twilio/blob/main/graphql/twilio-graphql.md; https://apis.io/graphqls/twilio/twilio-graphql/; https://www.twilio.com/docs/usage/api,High,False
Zoho Cliq,zoho.com/cliq,Team messaging and collaboration platform with chat APIs,OAuth2,Self-serve (developers can register an app via Zoho account),"Public REST API (v2/v3) covering client registration, OAuth flows, messaging, bots; suitable for MCP server or agent-callable skills",Buildable today using the REST endpoints; main requirement is obtaining OAuth credentials via app registration,"https://www.zoho.com/cliq/help/restapi/v3/registerclient/, https://www.zoho.com/cliq/help/restapi/v2/registerclient/, https://www.zoho.com/cliq/help/restapi/v3/oauth/",High,False
Lark (Larksuite),open.larksuite.com,"Collaboration and productivity platform (messaging, calendar, drive, etc.)",OAuth2 (app ID/secret) with token exchange,"Self‑serve (developers can register an app and obtain credentials, though some scopes may require admin approval)","Extensive public REST APIs covering messaging, contacts, calendar, drive, authentication, etc.; suitable for building MCP servers or agent‑callable skills","Buildable today; the platform provides documented REST endpoints and SDKs, with the main consideration being scope approval for certain features",https://open.larksuite.com/ https://open.larksuite.com/api-explorer https://github.com/larksuite/node-sdk,Inferred,False
Pumble,pumble.com,"Team communication and chat platform API for sending/receiving messages, managing channels and users","Token (Bearer) authentication, likely via API key; possible OAuth2 support",Self‑serve – developers can obtain a token from the Pumble admin console (may require admin approval or a paid plan),"Public REST API covering messages, channels, users, and other chat functions; suitable for MCP server or agent‑callable skills",Buildable – the documented REST endpoints and SDKs enable integration; the only potential blocker is limited detail on auth flows,"https://docs.pumble.com/#description/api-endpoints-usage, https://cake-com.github.io/pumble-node-sdk/api-client.html, https://cake-com.github.io/pumble-node-sdk/authorization.html",Medium,False
Discord,discord.com,"Discord is a communication platform for communities offering chat, voice, video, and integration APIs.",OAuth2 for user authentication and Bot token (Bearer token) for bot access.,Self-serve: developers can create apps in the Discord Developer Portal and obtain credentials for free.,Public REST API (broadly documented) and an unofficial GraphQL specification; can be accessed by external services and agents.,"Buildable as an agent toolkit today; main considerations are handling OAuth flows, rate limits, and bot permission scopes.","https://docs.discord.com/developers/reference, https://support.discord.com/hc/en-us/community/posts/360042674992-GraphQL-API, https://apis.io/graphqls/discord/discord-graphql/",Inferred,False
Aircall,aircall.io,Cloud-based business phone system / VoIP platform,API key (token) or OAuth2 (inferred),Gated – API credentials likely require a paid plan or sales contact,"Public REST API for managing calls, contacts, users, and analytics (inferred)","Potentially buildable as an agent toolkit, but lack of publicly documented API details is a blocker","https://github.com/aircall/frontend-hiring-test, https://aircall.io/blog/tech-team-stories/understanding-the-aircall-tech-stack/, https://jobs.lever.co/aircall/f5d661b8-b953-424b-85b4-86177a2946af",Inferred,True
Vonage,developer.vonage.com,"Communications platform offering messaging, voice, video and verification APIs",API key & secret (basic auth) and JWT tokens,Self‑serve – developers can sign up for a free trial and obtain credentials without sales contact (paid plans optional),"Extensive public REST API surface covering SMS, Voice, Video, Verify, Number Insight and more (no GraphQL)",Buildable – can be integrated into an agent toolkit today; no major technical blockers beyond standard auth handling,"https://developer.vonage.com/en/getting-started/concepts/authentication, https://developer.vonage.com/en/dashboard/control/api-settings, https://developer.vonage.com/en/verify/concepts/authentication",Medium,False
Google Ads,developers.google.com/google-ads,"Google Ads API – advertising campaign management, reporting, and optimization",OAuth2 (Google OAuth 2.0),"Self‑serve – developers can obtain credentials via Google Cloud console, but production access requires a Google Ads developer token that must be approved, so there is a gating step.","Public REST (and gRPC) API covering campaign, ad group, ad, keyword, and reporting operations; can be used as an MCP server via the Google Ads MCP toolkit.",Buildable – the API can be wrapped in an agent toolkit today; the main blocker is the OAuth2 flow and the need for an approved developer token for full production use.,"https://developers.google.com/google-ads/api/docs/developer-toolkit/mcp-server, https://github.com/googleads/google-ads-mcp, https://github.com/googleads/google-ads-mcp/blob/main/README.md",Inferred,False
LinkedIn Ads,learn.microsoft.com/linkedin/marketing,LinkedIn Ads – Advertising API for creating and managing LinkedIn ad campaigns,OAuth2,Gated – requires LinkedIn partnership/approval and admin consent,"Public REST API covering campaign creation, creative management, targeting, and reporting; suitable for MCP server or agent-callable skills","Buildable as an agent toolkit using REST calls, but access is gated and requires approved credentials","https://learn.microsoft.com/en-us/linkedin/marketing/integrations/ads/ads-overview?view=li-lms-2026-02, https://developer.linkedin.com/product-catalog/marketing/advertising-api, https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview?view=li-lms-2026-01",Medium,False
GoHighLevel,highlevel.stoplight.io,CRM & Marketing Automation platform with API access,OAuth2 (external authentication),Gated – requires partnership/contact‑sales to obtain OAuth credentials,"Broad public REST API covering contacts, pipelines, campaigns, appointments, etc.; suitable for MCP server or agent‑callable skills",Buildable as an agent toolkit today; main blocker is the gated OAuth credential acquisition,https://marketplace.gohighlevel.com/docs/oauth/ExternalAuthentication/ https://github.com/keith-wohnv/GHL-API-Docs/blob/master/04-External-Authentication.md https://marketplace.gohighlevel.com/docs/ghl/marketplace/migrate-connection/index.html,Medium,False
Mailchimp,mailchimp.com/developer,"Email marketing and automation platform offering a Marketing API for managing campaigns, audiences, and automation.",API key (Mailchimp uses API keys for authentication).,Self‑serve – developers can generate an API key from their own Mailchimp account (available on free and paid plans).,"Public REST API (Mailchimp Marketing API) covering campaigns, audiences, automation, e‑commerce, reports, etc.; suitable for MCP servers or agent‑callable skills.",Buildable today; the API is publicly documented and accessible with an API key. No major technical blockers.,https://mailchimp.com/help/about-api-keys/ https://mailchimp.com/developer/marketing/docs/fundamentals/ https://mailchimp.com/developer/marketing/guides/quick-start/,Medium,False
Klaviyo,developers.klaviyo.com,Marketing automation platform for email and SMS campaigns,OAuth2 (OAuth 2.0) and API key (private/public API token),Self‑serve – developers can obtain API credentials from a free or trial account without sales gate,"Public REST API with extensive endpoints for profiles, events, campaigns, lists, etc.; suitable for MCP server or agent‑callable skills","Buildable today; the only consideration is obtaining OAuth client credentials or API keys, which are self‑service","https://developers.klaviyo.com/en/docs/set_up_oauth, https://developers.klaviyo.com/en/v2026-01-15/docs/set_up_oauth, https://developers.klaviyo.com/en/docs/authenticate_",Medium,False
systeme.io,systeme.io,"All-in-one marketing automation platform (funnels, email, membership, etc.)",API key (likely passed in headers),Gated – API credentials typically require a paid plan or admin approval,"Public REST API with endpoints for contacts, funnels, products, and automation; suitable for agent-callable skills but not a full GraphQL/MCP server","Can be used as an agent toolkit today, but limited documentation and possible access restrictions are the main blockers",https://developer.systeme.io/reference; https://developer.systeme.io/reference/api; https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api,Inferred,False
Pinterest,developers.pinterest.com,"Pinterest API – enables developers to programmatically manage pins, boards, ads, and analytics on the Pinterest platform.",OAuth2 (OAuth 2.0 authorization code flow).,"Self‑serve – developers can create an app and obtain credentials via the Pinterest developer portal, though some scopes may require review.","Public REST API (v5) covering pins, boards, users, ads, and analytics; suitable for MCP server or agent‑callable skills.",Buildable today; main considerations are OAuth flow implementation and possible review for elevated permissions.,"https://developers.pinterest.com/docs/api/v5/, https://github.com/pinterest/api-description, https://developers.pinterest.com/",Medium,False
SendGrid,sendgrid.com,Email sending and marketing campaign management API,"API key (Bearer token), optional OAuth2 for some endpoints",Self‑serve for obtaining an API key on free/trial accounts; advanced marketing campaign and list management features may require a paid plan or partner approval,"Public REST API covering transactional email, marketing campaigns, contacts, and analytics; broad enough for MCP server or agent‑callable skills",Buildable as an agent toolkit today; main blocker is potential gating of marketing list features on free tiers,https://www.twilio.com/docs/sendgrid/api-reference/campaigns-api https://stackoverflow.com/questions/73323664/can-i-use-sendgrid-e-mail-api-plan-to-self-manage-my-mailing-list https://support.sendgrid.com/hc/en-us/articles/15759942286747-Marketing-Campaigns-for-Partner-Reseller-Accounts,Medium,False
Shopify,shopify.dev,Shopify app platform – enables developers to build e‑commerce integrations for Shopify stores,OAuth2 (OAuth 2.0) for public apps; API key/access token for private apps,Self‑serve – developers can obtain credentials via a free Shopify Partner account without additional approval,"Broad public REST and GraphQL APIs covering products, orders, customers, inventory, fulfillment, etc.; suitable for MCP server or agent‑callable skills","Buildable today as an agent toolkit; main considerations are implementing the OAuth flow and having a test store, but no fundamental blockers","https://shopify.dev/docs/apps/build/authentication-authorization, https://shopify.dev/docs/apps/build/authentication-authorization/access-tokens, https://github.com/Shopify/shopify-api-js/issues/901",High,False
WooCommerce,woocommerce.com/document/woocommerce-rest-api,"E-commerce platform API for managing products, orders, customers, etc.",API key (consumer key/secret) via Basic Auth or query parameters; also supports OAuth 1.0a.,Self‑serve – developers can generate API credentials from a WooCommerce site without contacting sales.,"Broad public REST API covering products, orders, customers, coupons, reports, and more; suitable for MCP server or agent‑callable skills.",Buildable today as an agent toolkit; main consideration is needing access to a WooCommerce‑enabled WordPress site for authentication.,https://woocommerce.com/document/woocommerce-rest-api,Inferred,False
BigCommerce,developer.bigcommerce.com,"E‑commerce platform API (Storefront & MCP) enabling product, cart, and checkout operations",OAuth2 (access token) and API token (legacy),Self‑serve – developers can obtain credentials from a BigCommerce store (requires a paid store subscription),"Public REST API covering catalog, cart, checkout, orders, etc.; also supports being an MCP (Marketplace Connect Platform) server for AI‑agent callable skills",Buildable today as an agent toolkit; main blocker is implementing the MCP server spec and hosting it securely,"https://docs.bigcommerce.com/developer/api-reference/mcp/overview, https://www.bigcommerce.com/blog/storefront-mcp/, https://docs.bigcommerce.com/developer/changelog/2026/5/7",Inferred,False
Telegram,core.telegram.org,Messaging/communication platform offering bot and MTProto APIs,Bot API: token (BotFather); MTProto API: API ID & hash plus user phone-number based login,Self‑serve: developers can obtain a bot token instantly via BotFather and can register an API ID/hash for free on my.telegram.org; no paid tier required,"Public REST Bot API with hundreds of documented methods (sendMessage, getUpdates, etc.) and MTProto binary API covering full Telegram client functionality; both can be called from external services or agents",Fully buildable today using the official Bot API (REST) or MTProto libraries; main blocker is obtaining the required credentials (bot token or API ID/hash) and handling MTProto's binary protocol,https://core.telegram.org/api/invoking https://core.telegram.org/methods https://core.telegram.org/api/,Inferred,False
WhatsApp Business,developers.facebook.com/docs/whatsapp,WhatsApp Business Cloud API – messaging platform for businesses,OAuth2 Bearer access token (Meta Graph API token),Self‑serve for developers after creating a Meta app and completing business verification; free tier available but requires approval of phone number and business profile,"Public REST/Graph API covering messages, templates, media, contacts, webhooks; can be used by MCP servers or agent‑callable skills","Fully buildable today; the only blockers are business verification, phone‑number approval, and rate‑limit quotas",https://developers.facebook.com/documentation/business-messaging/whatsapp/access-tokens/ [OFFICIAL DOMAIN]; https://developers.facebook.com/docs/whatsapp/cloud-api/get-started/ [OFFICIAL DOMAIN]; https://developers.facebook.com/documentation/business-messaging/whatsapp/get-started [OFFICIAL DOMAIN],Medium,False
Meta Ads,developers.facebook.com/docs/marketing-apis,"Meta Ads (Marketing API) – programmatic access to Facebook/Instagram advertising creation, management, and reporting.",OAuth 2.0 access tokens (user or system user tokens).,"Self‑serve for basic read access, but ad creation/management requires app review, Business Manager verification, and a paid ad account – effectively gated.","Extensive public Graph API (REST) covering campaigns, ad sets, ads, insights, targeting, creatives, etc.; callable from server‑side services or agent‑callable skills.",Buildable today as an agent toolkit; main blocker is the mandatory Facebook app review and Business verification to obtain production tokens.,"https://developers.facebook.com/docs/marketing-apis/ [OFFICIAL DOMAIN], https://developers.facebook.com/docs/marketing-api/authentication [OFFICIAL DOMAIN]",High,False
Threads (Meta),developers.facebook.com/docs/threads,Social media posting and analytics platform for Threads (Meta),OAuth2 access token (Meta Graph API),"Gated – developers must create a Meta app, undergo App Review and obtain approved permissions before production use","Public REST (Graph API) endpoints for creating posts, replying, fetching threads, comments, user profiles, and insights; suitable for MCP server or agent-callable skills",Buildable today as an agent toolkit; main blocker is the need for app review and approved permissions to access many endpoints,"https://developers.facebook.com/docs/threads, https://developers.facebook.com/docs/threads/overview/",Medium,False
Salesforce Commerce Cloud,developer.salesforce.com/docs/commerce,Salesforce Commerce Cloud (B2C Commerce) – eCommerce platform with RESTful Shopper APIs,OAuth2 (client‑credentials flow) – obtain bearer token using client ID and client secret; token required for all Shopper API calls,Gated – requires a paid Commerce Cloud tenant and admin‑generated API client credentials; not publicly self‑service,"Broad public REST API surface (Shopper APIs) covering catalog, search, carts, checkout, orders, customer profiles, etc.; callable from any HTTP client or MCP skill",Buildable – an integration can be created today using standard OAuth2 token exchange and REST calls; primary blocker is obtaining tenant access and managing token lifecycle,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html; https://developer.salesforce.com/docs/commerce/commerce-solutions/guide/authorization-for-shopper-apis.html; https://developer.salesforce.com/docs/commerce/sfra/guide/authorization-for-shopper-apis.html,Medium,False
Magento (Adobe Commerce),developer.adobe.com/commerce,"E‑commerce platform offering extensive REST and GraphQL APIs for catalog, cart, checkout, customers, orders, etc.","OAuth 1.0a, Bearer token (admin/customer integration token)",Gated – requires an Adobe Commerce instance (self‑hosted or subscription) and admin‑level integration setup to obtain credentials.,Broad public API surface: fully documented REST endpoints and GraphQL schema covering core commerce functionality; callable from MCP servers or agent‑callable skills.,Buildable today – official docs provide complete endpoint definitions; main blocker is the need for a running Magento instance and token generation workflow.,"https://developer.adobe.com/commerce/webapi/rest/, https://developer.adobe.com/commerce/webapi/rest/reference/, https://developer.adobe.com/commerce/webapi/reference/rest/paas",Medium,False
Squarespace,developers.squarespace.com,Website building and e‑commerce platform integration,OAuth2 (for third‑party apps) and API keys (for personal integrations),Self‑serve for API keys on paid Business/Commerce plans; OAuth requires app registration and approval,"Public REST API covering sites, pages, commerce, and content; no GraphQL; usable by MCP servers or agent‑callable skills",Can be built today using the REST endpoints; main blocker is the need for a paid Squarespace plan and OAuth app approval; no official docs were provided in the source,,Inferred,False
Ecwid,api-docs.ecwid.com,"E‑commerce platform providing storefront, cart, and order management APIs",API key (private app token) and OAuth2 for public apps,Self‑serve – developers can generate an API key from the Ecwid admin panel on any plan (free tier has limited access; full API requires a paid plan),"Public REST API covering products, categories, carts, orders, customers, and store settings; suitable for building MCP‑style server or agent‑callable skills","Buildable today – the documented REST endpoints allow full integration, though full feature set may require a paid plan and adherence to rate limits",,Inferred,True
Gumroad,gumroad.com/api,E‑commerce platform for selling digital products,Bearer token (personal access token) – API key style authentication,Self‑serve – developers can create an application and obtain a token from their Gumroad dashboard without contacting sales,"Public REST API covering products, sales, subscriptions, customers, and payouts; suitable for MCP‑style server or agent‑callable skills","Buildable today; the API is documented and uses simple token auth, but lack of OAuth2 for third‑party delegation and undocumented rate limits are the main constraints",https://gumroad.com/help/article/280-create-application-api https://www.mintlify.com/antiwork/gumroad/api/authentication,Medium,False
Amazon Selling Partner,developer-docs.amazon.com/sp-api,"Amazon Selling Partner API – enables sellers and developers to programmatically access orders, listings, inventory, reports, and other marketplace functions.",OAuth2 (Login with Amazon) for user/app authorization plus AWS Signature V4 for request signing.,Gated – requires a registered Amazon Seller/Developer account and Amazon approval to obtain credentials.,"Extensive public REST API covering orders, catalog, listings, inventory, pricing, reports, shipments, etc.; suitable for MCP servers or agent‑callable skills.",Buildable today as an agent toolkit; main blockers are the need for Amazon seller/developer registration and handling of LWA + Signature V4 signing.,https://developer-docs.amazon.com/sp-api/docs/authorize-public-applications https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications https://developer-docs.amazon.com/sp-api/docs/website-authorization-workflow,High,False
fanbasis,fanbasis.com,Fan community platform API for managing fan engagement and content,Token‑based (login endpoint returns a session token); no public OAuth2 documented,Gated – developers must request access or be a partner; credentials are not openly self‑service,"Public REST API covering authentication, user profiles, posts, comments, events, and media; suitable for MCP or agent‑callable skills",Buildable as an agent toolkit once access credentials are obtained; main blocker is the gated access to API keys/tokens,https://dev-docs.fanbasis.com/,Medium,False
DataForSEO,docs.dataforseo.com,SEO data extraction and analysis platform,API key (login/password) passed in request body,Gated – requires a paid subscription or account approval to obtain credentials,"Extensive public REST API (JSON) covering SERP, Keywords, Backlinks, Rank Tracking, and more; suitable for MCP server or agent‑callable skills",Buildable today; the only blocker is the need for a paid account to obtain login/password credentials,https://docs.dataforseo.com/v3/auth/ https://dataforseo.com/help-center/how-to-authenticate-with-dataforseo-google-search-serp-api-api-key-setup-and-code-examples,Medium,False
SE Ranking,seranking.com/api,"SEO data and analytics API for rankings, keywords, site audit, and reporting",API key (token) passed via HTTP header or query parameter,Gated – API access is granted only to paid plans or after contacting sales/admin approval,"Public REST API covering multiple SEO data endpoints (rankings, keywords, competitors, site audit, etc.); suitable for MCP server or agent‑callable skills",Buildable today as an agent toolkit; the only blocker is the need for a paid account to obtain an API key,https://seranking.com/api/data/getting-started/; https://seranking.com/api/how-to-get-api/,Medium,False
